map,result,team1_world_rank,team2_world_rank,1_top_Times played,1_top_wins,1_top_draws,1_top_losses,1_top_Total rounds played,1_top_Rounds won,1_top_Win percent,1_top_Pistol rounds,1_top_Pistol rounds won,1_top_Pistol round win percent,1_top_CT round win percent,1_top_T round win percent,1_All_Times played,1_All_wins,1_All_draws,1_All_losses,1_All_Total rounds played,1_All_Rounds won,1_All_Win percent,1_All_Pistol rounds,1_All_Pistol rounds won,1_All_Pistol round win percent,1_All_CT round win percent,1_All_T round win percent,2_top_Times played,2_top_wins,2_top_draws,2_top_losses,2_top_Total rounds played,2_top_Rounds won,2_top_Win percent,2_top_Pistol rounds,2_top_Pistol rounds won,2_top_Pistol round win percent,2_top_CT round win percent,2_top_T round win percent,2_All_Times played,2_All_wins,2_All_draws,2_All_losses,2_All_Total rounds played,2_All_Rounds won,2_All_Win percent,2_All_Pistol rounds,2_All_Pistol rounds won,2_All_Pistol round win percent,2_All_CT round win percent,2_All_T round win percent
Ancient,1,168,143,3,0,0,3,83,35,0.0,6,3,0.5,0.575,0.279,3,0,0,3,83,35,0.0,6,3,0.5,0.575,0.279,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Nuke,1,168,143,5,4,0,1,124,77,0.8,10,5,0.5,0.746,0.453,5,4,0,1,124,77,0.8,10,5,0.5,0.746,0.453,1,1,0,0,26,16,1.0,2,1,0.5,0.636,0.6,1,1,0,0,26,16,1.0,2,1,0.5,0.636,0.6
Mirage,1,92,72,19,10,0,9,503,252,0.526,38,21,0.553,0.508,0.494,19,10,0,9,503,252,0.526,38,21,0.553,0.508,0.494,14,8,0,6,376,193,0.571,28,12,0.429,0.579,0.455,14,8,0,6,376,193,0.571,28,12,0.429,0.579,0.455
Ancient,1,92,72,13,4,0,9,366,175,0.308,26,15,0.577,0.598,0.343,13,4,0,9,366,175,0.308,26,15,0.577,0.598,0.343,7,2,0,5,188,88,0.286,14,8,0.571,0.542,0.37,7,2,0,5,188,88,0.286,14,8,0.571,0.542,0.37
Mirage,1,195,206,1,0,0,1,25,9,0.0,2,0,0.0,0.5,0.267,1,0,0,1,25,9,0.0,2,0,0.0,0.5,0.267,5,2,0,3,130,60,0.4,10,4,0.4,0.564,0.387,5,2,0,3,130,60,0.4,10,4,0.4,0.564,0.387
Vertigo,1,195,206,1,1,0,0,28,16,1.0,2,1,0.5,0.533,0.615,1,1,0,0,28,16,1.0,2,1,0.5,0.533,0.615,1,0,0,1,21,5,0.0,2,1,0.5,0.133,0.5,1,0,0,1,21,5,0.0,2,1,0.5,0.133,0.5
Dust2,-1,144,198,1,0,0,1,25,9,0.0,2,1,0.5,0.267,0.5,1,0,0,1,25,9,0.0,2,1,0.5,0.267,0.5,2,2,0,0,62,35,1.0,4,3,0.75,0.655,0.485,2,2,0,0,62,35,1.0,4,3,0.75,0.655,0.485
Inferno,1,144,198,5,4,0,1,121,72,0.8,10,7,0.7,0.739,0.507,5,4,0,1,121,72,0.8,10,7,0.7,0.739,0.507,3,2,0,1,75,36,0.667,6,3,0.5,0.467,0.5,3,2,0,1,75,36,0.667,6,3,0.5,0.467,0.5
Ancient,1,144,198,1,1,0,0,20,16,1.0,2,2,1.0,0.733,1.0,1,1,0,0,20,16,1.0,2,2,1.0,0.733,1.0,2,1,0,1,53,27,0.5,4,1,0.25,0.333,0.692,2,1,0,1,53,27,0.5,4,1,0.25,0.333,0.692
Inferno,1,74,82,6,5,0,1,151,89,0.833,12,7,0.583,0.667,0.5,6,5,0,1,151,89,0.833,12,7,0.583,0.667,0.5,5,3,0,2,130,68,0.6,10,4,0.4,0.569,0.477,5,3,0,2,130,68,0.6,10,4,0.4,0.569,0.477
Vertigo,1,74,82,1,1,0,0,22,16,1.0,2,1,0.5,0.857,0.667,1,1,0,0,22,16,1.0,2,1,0.5,0.857,0.667,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Dust2,1,21,40,6,3,0,3,151,76,0.5,12,9,0.75,0.536,0.476,9,5,0,4,243,127,0.556,18,13,0.722,0.604,0.455,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5,3,0,2,139,79,0.6,10,6,0.6,0.634,0.5
Overpass,-1,21,40,8,2,0,6,214,96,0.25,16,6,0.375,0.467,0.426,8,2,0,6,214,96,0.25,16,6,0.375,0.467,0.426,5,1,0,4,134,57,0.2,10,5,0.5,0.381,0.465,14,7,0,7,344,171,0.5,28,15,0.536,0.546,0.453
Nuke,1,21,40,10,7,0,3,289,150,0.7,20,7,0.35,0.562,0.476,12,9,0,3,342,182,0.75,24,10,0.417,0.592,0.47,8,4,0,4,212,97,0.5,16,6,0.375,0.442,0.468,15,10,0,5,388,208,0.667,30,14,0.467,0.51,0.554
Mirage,-1,58,85,10,3,0,7,288,137,0.3,20,16,0.8,0.51,0.437,10,3,0,7,288,137,0.3,20,16,0.8,0.51,0.437,7,6,0,1,189,106,0.857,14,9,0.643,0.655,0.486,7,6,0,1,189,106,0.857,14,9,0.643,0.655,0.486
Inferno,-1,58,85,16,10,0,6,382,214,0.625,32,18,0.562,0.569,0.552,16,10,0,6,382,214,0.625,32,18,0.562,0.569,0.552,2,2,0,0,44,32,1.0,4,2,0.5,0.545,0.909,2,2,0,0,44,32,1.0,4,2,0.5,0.545,0.909
Ancient,-1,43,21,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,12,8,0,4,314,171,0.667,24,8,0.333,0.667,0.441,4,3,0,1,119,60,0.75,8,3,0.375,0.5,0.508,5,4,0,1,147,76,0.8,10,5,0.5,0.521,0.513
Inferno,1,43,21,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,14,8,0,6,367,198,0.571,28,13,0.464,0.545,0.532,17,12,0,5,481,252,0.706,34,16,0.471,0.53,0.518,20,15,0,5,579,312,0.75,40,18,0.45,0.543,0.535
Nuke,-1,43,21,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,16,12,0,4,426,231,0.75,32,16,0.5,0.624,0.466,11,8,0,3,325,169,0.727,22,8,0.364,0.574,0.466,13,10,0,3,378,201,0.769,26,11,0.423,0.599,0.462
Vertigo,1,47,21,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,10,5,0,5,320,158,0.5,20,11,0.55,0.538,0.45,9,5,0,4,253,136,0.556,18,11,0.611,0.519,0.55,11,6,0,5,327,172,0.545,22,14,0.636,0.521,0.529
Overpass,-1,47,21,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,10,7,0,3,272,151,0.7,20,12,0.6,0.553,0.557,9,2,0,7,242,108,0.222,18,6,0.333,0.466,0.422,9,2,0,7,242,108,0.222,18,6,0.333,0.466,0.422
Ancient,1,47,21,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5,3,0,2,155,77,0.6,10,3,0.3,0.609,0.353,5,4,0,1,144,76,0.8,10,5,0.5,0.562,0.493,6,5,0,1,172,92,0.833,12,7,0.583,0.57,0.5
Dust2,-1,47,21,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,9,7,0,2,222,135,0.778,18,11,0.611,0.649,0.578,7,4,0,3,185,95,0.571,14,11,0.786,0.586,0.449,10,6,0,4,277,146,0.6,20,15,0.75,0.628,0.439
Inferno,-1,145,95,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,7,0,0,7,179,67,0.0,14,8,0.571,0.381,0.365,7,0,0,7,179,67,0.0,14,8,0.571,0.381,0.365
Mirage,1,145,95,1,0,0,1,35,16,0.0,2,0,0.0,0.471,0.444,1,0,0,1,35,16,0.0,2,0,0.0,0.471,0.444,12,5,0,7,311,143,0.417,24,9,0.375,0.436,0.484,12,5,0,7,311,143,0.417,24,9,0.375,0.436,0.484
Vertigo,-1,145,95,1,1,0,0,22,16,1.0,2,2,1.0,0.714,0.733,1,1,0,0,22,16,1.0,2,2,1.0,0.714,0.733,8,4,0,4,213,101,0.5,16,8,0.5,0.477,0.472,8,4,0,4,213,101,0.5,16,8,0.5,0.477,0.472
Nuke,-1,145,95,1,1,0,0,29,16,1.0,2,1,0.5,0.5,0.6,1,1,0,0,29,16,1.0,2,1,0.5,0.5,0.6,5,3,0,2,136,75,0.6,10,5,0.5,0.623,0.478,5,3,0,2,136,75,0.6,10,5,0.5,0.623,0.478
Overpass,1,78,85,7,3,0,4,188,89,0.429,14,5,0.357,0.562,0.394,7,3,0,4,188,89,0.429,14,5,0.357,0.562,0.394,3,1,0,2,78,33,0.333,6,2,0.333,0.553,0.3,3,1,0,2,78,33,0.333,6,2,0.333,0.553,0.3
Mirage,1,78,85,4,2,0,2,114,55,0.5,8,4,0.5,0.455,0.508,4,2,0,2,114,55,0.5,8,4,0.5,0.455,0.508,8,7,0,1,224,125,0.875,16,11,0.688,0.637,0.492,8,7,0,1,224,125,0.875,16,11,0.688,0.637,0.492
Inferno,1,23,78,15,6,0,9,392,183,0.4,30,16,0.533,0.489,0.439,15,6,0,9,392,183,0.4,30,16,0.533,0.489,0.439,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5,4,0,1,127,72,0.8,10,6,0.6,0.515,0.627
Overpass,1,23,78,12,10,0,2,315,175,0.833,24,19,0.792,0.632,0.497,12,10,0,2,315,175,0.833,24,19,0.792,0.632,0.497,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,8,4,0,4,218,105,0.5,16,6,0.375,0.587,0.386
Ancient,1,23,78,15,8,0,7,410,213,0.533,30,15,0.5,0.565,0.473,15,8,0,7,410,213,0.533,30,15,0.5,0.565,0.473,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4,2,0,2,101,50,0.5,8,5,0.625,0.569,0.42
Nuke,1,29,99,12,4,0,8,317,148,0.333,24,11,0.458,0.543,0.373,12,4,0,8,317,148,0.333,24,11,0.458,0.543,0.373,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,10,4,0,6,267,123,0.4,20,6,0.3,0.538,0.4
Inferno,1,29,99,13,10,0,3,334,183,0.769,26,15,0.577,0.518,0.578,13,10,0,3,334,183,0.769,26,15,0.577,0.518,0.578,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,10,4,0,6,265,120,0.4,20,8,0.4,0.418,0.496
Ancient,1,38,92,9,3,0,6,238,113,0.333,18,9,0.5,0.664,0.304,9,3,0,6,238,113,0.333,18,9,0.5,0.664,0.304,4,1,0,3,97,41,0.25,8,3,0.375,0.529,0.304,14,5,0,9,395,191,0.357,28,15,0.536,0.601,0.353
Nuke,1,38,92,12,5,0,7,340,167,0.417,24,12,0.5,0.522,0.457,12,5,0,7,340,167,0.417,24,12,0.5,0.522,0.457,2,0,0,2,53,18,0.0,4,0,0.0,0.375,0.286,2,0,0,2,53,18,0.0,4,0,0.0,0.375,0.286
Nuke,-1,55,66,9,6,0,3,223,126,0.667,18,11,0.611,0.687,0.435,9,6,0,3,223,126,0.667,18,11,0.611,0.687,0.435,12,10,0,2,323,181,0.833,24,11,0.458,0.636,0.503,12,10,0,2,323,181,0.833,24,11,0.458,0.636,0.503
Overpass,-1,55,66,6,4,0,2,157,85,0.667,12,7,0.583,0.552,0.529,6,4,0,2,157,85,0.667,12,7,0.583,0.552,0.529,6,1,0,5,170,67,0.167,12,7,0.583,0.464,0.301,6,1,0,5,170,67,0.167,12,7,0.583,0.464,0.301
Ancient,1,65,112,10,4,0,6,269,128,0.4,20,11,0.55,0.595,0.362,10,4,0,6,269,128,0.4,20,11,0.55,0.595,0.362,4,2,0,2,104,56,0.5,8,2,0.25,0.7,0.318,4,2,0,2,104,56,0.5,8,2,0.25,0.7,0.318
Vertigo,1,65,112,9,6,0,3,248,134,0.667,18,9,0.5,0.626,0.466,9,6,0,3,248,134,0.667,18,9,0.5,0.626,0.466,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Mirage,1,46,75,11,7,0,4,292,155,0.636,22,7,0.318,0.557,0.509,11,7,0,4,292,155,0.636,22,7,0.318,0.557,0.509,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3,0,0,3,70,22,0.0,6,2,0.333,0.394,0.243
Inferno,1,46,75,13,7,0,6,338,168,0.538,26,10,0.385,0.509,0.486,13,7,0,6,338,168,0.538,26,10,0.385,0.509,0.486,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,1,0,1,51,22,0.5,4,3,0.75,0.379,0.5
Ancient,1,63,200,8,3,0,5,212,95,0.375,16,6,0.375,0.534,0.367,8,3,0,5,212,95,0.375,16,6,0.375,0.534,0.367,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Vertigo,-1,63,200,6,4,0,2,164,78,0.667,12,3,0.25,0.548,0.38,6,4,0,2,164,78,0.667,12,3,0.25,0.548,0.38,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Overpass,1,63,200,12,6,0,6,348,183,0.5,24,15,0.625,0.623,0.428,12,6,0,6,348,183,0.5,24,15,0.625,0.623,0.428,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Vertigo,-1,121,200,3,2,0,1,82,46,0.667,6,4,0.667,0.6,0.514,3,2,0,1,82,46,0.667,6,4,0.667,0.6,0.514,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Ancient,1,121,200,6,5,0,1,145,92,0.833,12,2,0.167,0.721,0.558,6,5,0,1,145,92,0.833,12,2,0.167,0.721,0.558,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Overpass,1,121,200,5,2,0,3,130,61,0.4,10,5,0.5,0.683,0.286,5,2,0,3,130,61,0.4,10,5,0.5,0.683,0.286,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Ancient,-1,200,98,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3,2,0,1,79,44,0.667,6,4,0.667,0.529,0.578,3,2,0,1,79,44,0.667,6,4,0.667,0.529,0.578
Inferno,1,200,98,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,1,0,1,48,21,0.5,4,1,0.25,0.367,0.556,2,1,0,1,48,21,0.5,4,1,0.25,0.367,0.556
Mirage,-1,200,98,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,1,25,9,0.0,2,1,0.5,0.467,0.2,1,0,0,1,25,9,0.0,2,1,0.5,0.467,0.2
Nuke,1,29,38,12,4,0,8,317,148,0.333,24,11,0.458,0.543,0.373,13,5,0,8,339,164,0.385,26,12,0.462,0.563,0.383,2,1,0,1,66,33,0.5,4,2,0.5,0.667,0.333,13,6,0,7,363,183,0.462,26,13,0.5,0.532,0.475
Overpass,1,29,38,8,5,0,3,215,108,0.625,16,9,0.562,0.583,0.429,11,8,0,3,292,156,0.727,22,11,0.5,0.613,0.46,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3,1,0,2,74,36,0.333,6,3,0.5,0.467,0.517
Overpass,-1,46,63,4,1,0,3,94,37,0.25,8,3,0.375,0.433,0.324,4,1,0,3,94,37,0.25,8,3,0.375,0.433,0.324,7,4,0,3,214,112,0.571,14,8,0.571,0.583,0.468,13,7,0,6,372,199,0.538,26,16,0.615,0.626,0.44
Mirage,-1,46,63,12,8,0,4,326,174,0.667,24,9,0.375,0.577,0.497,12,8,0,4,326,174,0.667,24,9,0.375,0.577,0.497,6,1,0,5,166,69,0.167,12,4,0.333,0.452,0.37,8,1,0,7,215,86,0.125,16,5,0.312,0.441,0.351
Ancient,-1,84,60,14,5,0,9,387,180,0.357,28,12,0.429,0.528,0.411,14,5,0,9,387,180,0.357,28,12,0.429,0.528,0.411,10,6,0,4,267,136,0.6,20,11,0.55,0.643,0.39,10,6,0,4,267,136,0.6,20,11,0.55,0.643,0.39
Mirage,-1,84,60,13,9,0,4,349,179,0.692,26,14,0.538,0.543,0.479,13,9,0,4,349,179,0.692,26,14,0.538,0.543,0.479,12,4,0,8,352,169,0.333,24,17,0.708,0.503,0.455,12,4,0,8,352,169,0.333,24,17,0.708,0.503,0.455
Vertigo,1,12,41,10,7,0,3,240,134,0.7,20,8,0.4,0.585,0.53,13,10,0,3,337,191,0.769,26,11,0.423,0.578,0.556,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,9,6,0,3,269,144,0.667,18,10,0.556,0.529,0.542
Overpass,1,12,41,11,5,0,6,266,135,0.455,22,12,0.545,0.525,0.493,12,6,0,6,293,151,0.5,24,13,0.542,0.569,0.472,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4,1,0,3,102,48,0.25,8,4,0.5,0.483,0.452
Nuke,-1,17,82,23,10,0,13,613,298,0.435,46,24,0.522,0.569,0.392,23,10,0,13,613,298,0.435,46,24,0.522,0.569,0.392,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4,3,0,1,99,58,0.75,8,3,0.375,0.65,0.487
Overpass,1,17,82,17,15,0,2,436,265,0.882,34,17,0.5,0.673,0.551,17,15,0,2,436,265,0.882,34,17,0.5,0.673,0.551,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5,1,0,4,137,60,0.2,10,3,0.3,0.603,0.275
Dust2,-1,17,82,13,9,0,4,346,190,0.692,26,11,0.423,0.618,0.48,13,9,0,4,346,190,0.692,26,11,0.423,0.618,0.48,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,5,4,0,1,132,73,0.8,10,2,0.2,0.541,0.563
Vertigo,-1,91,81,7,2,0,5,196,87,0.286,14,8,0.571,0.505,0.384,7,2,0,5,196,87,0.286,14,8,0.571,0.505,0.384,5,4,0,1,126,73,0.8,10,7,0.7,0.569,0.587,5,4,0,1,126,73,0.8,10,7,0.7,0.569,0.587
Inferno,1,91,81,7,5,0,2,183,106,0.714,14,8,0.571,0.637,0.522,7,5,0,2,183,106,0.714,14,8,0.571,0.637,0.522,5,3,0,2,132,65,0.6,10,7,0.7,0.506,0.473,5,3,0,2,132,65,0.6,10,7,0.7,0.506,0.473
Nuke,-1,91,81,4,3,0,1,103,58,0.75,8,4,0.5,0.661,0.432,4,3,0,1,103,58,0.75,8,4,0.5,0.661,0.432,5,4,0,1,104,68,0.8,10,5,0.5,0.725,0.609,5,4,0,1,104,68,0.8,10,5,0.5,0.725,0.609
Overpass,-1,49,65,5,1,0,4,118,45,0.2,10,3,0.3,0.4,0.349,5,1,0,4,118,45,0.2,10,3,0.3,0.4,0.349,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4,3,0,1,112,64,0.75,8,6,0.75,0.571,0.571
Nuke,-1,49,65,13,11,0,2,357,197,0.846,26,11,0.423,0.608,0.5,13,11,0,2,357,197,0.846,26,11,0.423,0.608,0.5,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,11,5,0,6,292,142,0.455,22,4,0.182,0.583,0.392
Dust2,-1,52,45,3,0,0,3,77,29,0.0,6,3,0.5,0.39,0.361,7,4,0,3,178,93,0.571,14,10,0.714,0.574,0.464,7,6,0,1,163,107,0.857,14,9,0.643,0.629,0.689,7,6,0,1,163,107,0.857,14,9,0.643,0.629,0.689
Vertigo,-1,52,45,1,1,0,0,26,16,1.0,2,1,0.5,0.667,0.545,2,1,0,1,61,32,0.5,4,3,0.75,0.562,0.483,7,5,0,2,173,94,0.714,14,7,0.5,0.506,0.578,7,5,0,2,173,94,0.714,14,7,0.5,0.506,0.578
Mirage,1,41,81,13,5,0,8,402,193,0.385,26,10,0.385,0.531,0.423,13,5,0,8,402,193,0.385,26,10,0.385,0.531,0.423,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,6,1,0,5,150,67,0.167,12,5,0.417,0.544,0.3
Vertigo,1,41,81,10,6,0,4,293,152,0.6,20,10,0.5,0.531,0.507,10,6,0,4,293,152,0.6,20,10,0.5,0.531,0.507,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,7,6,0,1,183,105,0.857,14,10,0.714,0.551,0.59
Overpass,1,84,68,10,1,0,9,261,108,0.1,20,9,0.45,0.487,0.305,10,1,0,9,261,108,0.1,20,9,0.45,0.487,0.305,10,5,0,5,275,133,0.5,20,9,0.45,0.594,0.38,10,5,0,5,275,133,0.5,20,9,0.45,0.594,0.38
Vertigo,-1,84,68,5,4,0,1,141,78,0.8,10,4,0.4,0.561,0.547,5,4,0,1,141,78,0.8,10,4,0.4,0.561,0.547,7,3,0,4,182,86,0.429,14,6,0.429,0.526,0.414,7,3,0,4,182,86,0.429,14,6,0.429,0.526,0.414
Mirage,-1,84,68,14,9,0,5,373,187,0.643,28,16,0.571,0.544,0.455,14,9,0,5,373,187,0.643,28,16,0.571,0.544,0.455,5,3,0,2,136,71,0.6,10,5,0.5,0.5,0.545,5,3,0,2,136,71,0.6,10,5,0.5,0.5,0.545
Inferno,1,22,139,5,2,0,3,152,73,0.4,10,4,0.4,0.407,0.563,5,2,0,3,152,73,0.4,10,4,0.4,0.407,0.563,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,2,1,0,1,47,28,0.5,4,3,0.75,0.643,0.526
Overpass,1,22,139,2,0,0,2,54,22,0.0,4,3,0.75,0.417,0.4,2,0,0,2,54,22,0.0,4,3,0.75,0.417,0.4,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0,28,16,1.0,2,0,0.0,0.467,0.692
Overpass,1,37,49,4,1,0,3,100,46,0.25,8,6,0.75,0.533,0.35,5,2,0,3,142,68,0.4,10,6,0.6,0.519,0.426,6,3,0,3,167,86,0.5,12,7,0.583,0.494,0.537,10,7,0,3,266,150,0.7,20,13,0.65,0.573,0.556
Nuke,1,37,49,9,5,0,4,240,123,0.556,18,8,0.444,0.539,0.493,13,8,0,5,339,180,0.615,26,12,0.462,0.577,0.492,6,2,0,4,149,74,0.333,12,4,0.333,0.5,0.493,9,4,0,5,245,125,0.444,18,7,0.389,0.546,0.47
Vertigo,1,14,44,4,2,0,2,101,54,0.5,8,6,0.75,0.6,0.482,5,3,0,2,117,70,0.6,10,8,0.8,0.7,0.491,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4,0,0,4,106,42,0.0,8,4,0.5,0.473,0.314
Inferno,1,14,44,6,2,0,4,172,85,0.333,12,7,0.583,0.471,0.518,7,3,0,4,208,104,0.429,14,8,0.571,0.467,0.534,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,9,4,0,5,231,108,0.444,18,9,0.5,0.491,0.447
Mirage,-1,83,71,3,1,0,2,90,41,0.333,6,2,0.333,0.478,0.432,3,1,0,2,90,41,0.333,6,2,0.333,0.478,0.432,3,3,0,0,85,48,1.0,6,4,0.667,0.725,0.422,3,3,0,0,85,48,1.0,6,4,0.667,0.725,0.422
Overpass,-1,83,71,7,4,0,3,172,93,0.571,14,7,0.5,0.691,0.442,7,4,0,3,172,93,0.571,14,7,0.5,0.691,0.442,3,2,0,1,87,44,0.667,6,3,0.5,0.6,0.405,3,2,0,1,87,44,0.667,6,3,0.5,0.6,0.405
Mirage,1,37,71,8,3,0,5,204,95,0.375,16,7,0.438,0.525,0.384,8,3,0,5,204,95,0.375,16,7,0.438,0.525,0.384,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,4,4,0,0,109,64,1.0,8,5,0.625,0.776,0.433
Nuke,1,37,71,14,9,0,5,365,196,0.643,28,13,0.464,0.569,0.51,14,9,0,5,365,196,0.643,28,13,0.464,0.569,0.51,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0,29,16,1.0,2,0,0.0,0.667,0.429
Overpass,1,44,38,2,0,0,2,42,10,0.0,4,2,0.5,0.333,0.167,3,1,0,2,66,26,0.333,6,2,0.333,0.481,0.333,7,3,0,4,181,85,0.429,14,5,0.357,0.584,0.385,11,6,0,5,278,138,0.545,22,9,0.409,0.57,0.445
Mirage,-1,44,38,2,2,0,0,51,32,1.0,4,1,0.25,0.633,0.619,2,2,0,0,51,32,1.0,4,1,0.25,0.633,0.619,6,2,0,4,163,78,0.333,12,5,0.417,0.578,0.356,11,6,0,5,287,155,0.545,22,10,0.455,0.667,0.369
Inferno,1,44,38,6,2,0,4,150,66,0.333,12,5,0.417,0.463,0.422,10,4,0,6,257,118,0.4,20,10,0.5,0.471,0.449,12,7,0,5,312,162,0.583,24,13,0.542,0.559,0.485,22,16,0,6,555,318,0.727,44,23,0.523,0.633,0.514
Dust2,-1,109,104,5,1,0,4,131,60,0.2,10,2,0.2,0.508,0.412,5,1,0,4,131,60,0.2,10,2,0.2,0.508,0.412,5,3,0,2,127,69,0.6,10,2,0.2,0.621,0.459,5,3,0,2,127,69,0.6,10,2,0.2,0.621,0.459
Vertigo,1,109,104,6,3,0,3,177,92,0.5,12,9,0.75,0.516,0.524,6,3,0,3,177,92,0.5,12,9,0.75,0.516,0.524,4,1,0,3,99,40,0.25,8,3,0.375,0.385,0.417,4,1,0,3,99,40,0.25,8,3,0.375,0.385,0.417
Ancient,-1,109,104,9,7,0,2,209,126,0.778,18,6,0.333,0.75,0.468,9,7,0,2,209,126,0.778,18,6,0.333,0.75,0.468,4,4,0,0,113,67,1.0,8,6,0.75,0.673,0.525,4,4,0,0,113,67,1.0,8,6,0.75,0.673,0.525
Nuke,-1,93,261,6,1,0,5,165,68,0.167,12,6,0.5,0.41,0.415,6,1,0,5,165,68,0.167,12,6,0.5,0.41,0.415,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Inferno,1,93,261,12,5,0,7,319,168,0.417,24,12,0.5,0.485,0.571,12,5,0,7,319,168,0.417,24,12,0.5,0.485,0.571,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Overpass,1,93,261,8,5,0,3,196,105,0.625,16,7,0.438,0.628,0.475,8,5,0,3,196,105,0.625,16,7,0.438,0.628,0.475,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Inferno,1,181,248,1,1,0,0,30,16,1.0,2,1,0.5,0.4,0.667,1,1,0,0,30,16,1.0,2,1,0.5,0.4,0.667,1,1,0,0,21,16,1.0,2,2,1.0,1.0,0.667,1,1,0,0,21,16,1.0,2,2,1.0,1.0,0.667
Ancient,1,181,248,4,3,0,1,120,65,0.75,8,4,0.5,0.627,0.459,4,3,0,1,120,65,0.75,8,4,0.5,0.627,0.459,1,0,0,1,27,11,0.0,2,2,1.0,0.4,0.417,1,0,0,1,27,11,0.0,2,2,1.0,0.4,0.417
Overpass,-1,80,70,12,3,0,9,320,140,0.25,24,10,0.417,0.505,0.343,12,3,0,9,320,140,0.25,24,10,0.417,0.505,0.343,5,3,0,2,131,67,0.6,10,6,0.6,0.625,0.373,5,3,0,2,131,67,0.6,10,6,0.6,0.625,0.373
