map,result,team1_world_rank,team2_world_rank,1_top_Times played,1_top_wins,1_top_draws,1_top_losses,1_top_Total rounds played,1_top_Rounds won,1_top_Win percent,1_top_Pistol rounds,1_top_Pistol rounds won,1_top_Pistol round win percent,1_top_CT round win percent,1_top_T round win percent,1_All_Times played,1_All_wins,1_All_draws,1_All_losses,1_All_Total rounds played,1_All_Rounds won,1_All_Win percent,1_All_Pistol rounds,1_All_Pistol rounds won,1_All_Pistol round win percent,1_All_CT round win percent,1_All_T round win percent,2_top_Times played,2_top_wins,2_top_draws,2_top_losses,2_top_Total rounds played,2_top_Rounds won,2_top_Win percent,2_top_Pistol rounds,2_top_Pistol rounds won,2_top_Pistol round win percent,2_top_CT round win percent,2_top_T round win percent,2_All_Times played,2_All_wins,2_All_draws,2_All_losses,2_All_Total rounds played,2_All_Rounds won,2_All_Win percent,2_All_Pistol rounds,2_All_Pistol rounds won,2_All_Pistol round win percent,2_All_CT round win percent,2_All_T round win percent
Inferno,-1,149,153,4,2,0,2,106,52,0.5,8,3,0.375,0.533,0.435,4,2,0,2,106,52,0.5,8,3,0.375,0.533,0.435,12,6,0,6,335,168,0.5,24,9,0.375,0.497,0.506,12,6,0,6,335,168,0.5,24,9,0.375,0.497,0.506
Vertigo,1,149,153,3,2,0,1,83,48,0.667,6,5,0.833,0.447,0.75,3,2,0,1,83,48,0.667,6,5,0.833,0.447,0.75,8,2,0,6,226,102,0.25,16,8,0.5,0.409,0.491,8,2,0,6,226,102,0.25,16,8,0.5,0.409,0.491
Ancient,-1,18,16,1,0,0,1,23,7,0.0,2,1,0.5,0.125,0.4,4,1,0,3,96,35,0.25,8,1,0.125,0.432,0.308,2,0,0,2,57,25,0.0,4,2,0.5,0.333,0.533,12,6,0,6,313,168,0.5,24,13,0.542,0.556,0.517
Inferno,-1,18,16,3,2,0,1,78,45,0.667,6,4,0.667,0.525,0.632,10,5,0,5,274,144,0.5,20,12,0.6,0.551,0.496,3,1,0,2,76,30,0.333,6,2,0.333,0.356,0.452,13,6,0,7,333,170,0.462,26,12,0.462,0.529,0.486
Ancient,-1,47,34,4,3,0,1,122,65,0.75,8,3,0.375,0.644,0.429,5,4,0,1,145,81,0.8,10,5,0.5,0.642,0.487,7,2,0,5,168,75,0.286,14,6,0.429,0.525,0.328,12,3,0,9,315,142,0.25,24,12,0.5,0.489,0.403
Nuke,1,47,34,1,0,0,1,22,6,0.0,2,0,0.0,0.143,0.333,1,0,0,1,22,6,0.0,2,0,0.0,0.143,0.333,10,9,0,1,255,159,0.9,20,12,0.6,0.61,0.633,17,12,0,5,437,247,0.706,34,16,0.471,0.632,0.512
Overpass,1,47,34,2,2,0,0,56,32,1.0,4,3,0.75,0.6,0.538,4,4,0,0,110,64,1.0,8,4,0.5,0.611,0.554,5,3,0,2,147,70,0.6,10,6,0.6,0.606,0.37,14,10,0,4,367,207,0.714,28,20,0.714,0.64,0.497
Overpass,1,162,149,1,0,0,1,23,7,0.0,2,1,0.5,0.267,0.375,1,0,0,1,23,7,0.0,2,1,0.5,0.267,0.375,1,0,0,1,35,16,0.0,2,0,0.0,0.389,0.529,1,0,0,1,35,16,0.0,2,0,0.0,0.389,0.529
Vertigo,1,162,149,5,1,0,4,123,58,0.2,10,7,0.7,0.296,0.609,5,1,0,4,123,58,0.2,10,7,0.7,0.296,0.609,4,3,0,1,102,64,0.75,8,7,0.875,0.49,0.765,4,3,0,1,102,64,0.75,8,7,0.875,0.49,0.765
Inferno,1,18,49,5,4,0,1,136,71,0.8,10,4,0.4,0.591,0.457,6,5,0,1,189,99,0.833,12,4,0.333,0.581,0.469,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0,29,16,1.0,2,1,0.5,0.786,0.333
Dust2,-1,18,49,1,1,0,0,23,16,1.0,2,2,1.0,0.75,0.667,2,2,0,0,58,35,1.0,4,3,0.75,0.692,0.531,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Overpass,-1,18,49,1,0,0,1,29,13,0.0,2,1,0.5,0.6,0.286,1,0,0,1,29,13,0.0,2,1,0.5,0.6,0.286,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Vertigo,-1,162,157,6,2,0,4,153,74,0.333,12,9,0.75,0.304,0.631,6,2,0,4,153,74,0.333,12,9,0.75,0.304,0.631,5,0,0,5,118,38,0.0,10,5,0.5,0.305,0.339,5,0,0,5,118,38,0.0,10,5,0.5,0.305,0.339
Nuke,-1,162,157,3,3,0,0,82,51,1.0,6,2,0.333,0.562,0.706,3,3,0,0,82,51,1.0,6,2,0.333,0.562,0.706,5,2,0,3,136,68,0.4,10,9,0.9,0.522,0.478,5,2,0,3,136,68,0.4,10,9,0.9,0.522,0.478
Inferno,1,149,155,5,2,0,3,131,61,0.4,10,3,0.3,0.533,0.375,5,2,0,3,131,61,0.4,10,3,0.3,0.533,0.375,3,1,0,2,80,34,0.333,6,0,0.0,0.543,0.333,3,1,0,2,80,34,0.333,6,0,0.0,0.543,0.333
Dust2,-1,149,155,6,5,0,1,157,96,0.833,12,6,0.5,0.677,0.565,6,5,0,1,157,96,0.833,12,6,0.5,0.677,0.565,1,0,0,1,30,14,0.0,2,0,0.0,0.533,0.4,1,0,0,1,30,14,0.0,2,0,0.0,0.533,0.4
Nuke,-1,149,155,2,0,0,2,49,17,0.0,4,3,0.75,0.433,0.211,2,0,0,2,49,17,0.0,4,3,0.75,0.433,0.211,2,1,0,1,51,21,0.5,4,2,0.5,0.429,0.4,2,1,0,1,51,21,0.5,4,2,0.5,0.429,0.4
Inferno,-1,55,37,8,2,0,6,210,92,0.25,16,5,0.312,0.505,0.364,10,2,0,8,261,111,0.2,20,8,0.4,0.474,0.373,15,5,0,10,387,180,0.333,30,15,0.5,0.497,0.438,15,5,0,10,387,180,0.333,30,15,0.5,0.497,0.438
Mirage,-1,55,37,3,3,0,0,91,54,1.0,6,4,0.667,0.627,0.55,5,5,0,0,156,89,1.0,10,7,0.7,0.619,0.514,10,7,0,3,259,133,0.7,20,5,0.25,0.55,0.477,10,7,0,3,259,133,0.7,20,5,0.25,0.55,0.477
Ancient,-1,93,81,2,1,0,1,51,23,0.5,4,1,0.25,0.607,0.261,2,1,0,1,51,23,0.5,4,1,0.25,0.607,0.261,9,6,0,3,228,116,0.667,18,9,0.5,0.508,0.51,9,6,0,3,228,116,0.667,18,9,0.5,0.508,0.51
Mirage,1,93,81,5,1,0,4,134,54,0.2,10,6,0.6,0.462,0.321,5,1,0,4,134,54,0.2,10,6,0.6,0.462,0.321,5,0,0,5,159,70,0.0,10,6,0.6,0.487,0.398,5,0,0,5,159,70,0.0,10,6,0.6,0.487,0.398
Dust2,1,93,81,2,1,0,1,51,27,0.5,4,2,0.5,0.619,0.467,2,1,0,1,51,27,0.5,4,2,0.5,0.619,0.467,6,2,0,4,162,75,0.333,12,6,0.5,0.603,0.333,6,2,0,4,162,75,0.333,12,6,0.5,0.603,0.333
Vertigo,1,10,67,13,5,0,8,345,163,0.385,26,12,0.462,0.494,0.454,13,5,0,8,345,163,0.385,26,12,0.462,0.494,0.454,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,7,6,0,1,193,102,0.857,14,5,0.357,0.448,0.608
Ancient,1,10,67,25,20,0,5,680,383,0.8,50,25,0.5,0.608,0.526,25,20,0,5,680,383,0.8,50,25,0.5,0.608,0.526,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0,29,16,1.0,2,0,0.0,0.533,0.571
Mirage,-1,16,28,2,1,0,1,49,21,0.5,4,3,0.75,0.367,0.526,3,2,0,1,69,37,0.667,6,4,0.667,0.489,0.625,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,17,6,0,11,471,217,0.353,34,13,0.382,0.556,0.352
Ancient,1,16,28,10,8,0,2,290,152,0.8,20,10,0.5,0.552,0.497,13,8,0,5,367,181,0.615,26,14,0.538,0.527,0.459,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,8,2,0,6,218,104,0.25,16,7,0.438,0.579,0.365
Inferno,-1,16,28,11,7,0,4,310,168,0.636,22,13,0.591,0.45,0.627,18,11,0,7,500,264,0.611,36,19,0.528,0.478,0.58,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,8,5,0,3,208,109,0.625,16,12,0.75,0.486,0.566
Inferno,-1,162,155,2,1,0,1,52,26,0.5,4,1,0.25,0.633,0.318,2,1,0,1,52,26,0.5,4,1,0.25,0.633,0.318,5,1,0,4,140,62,0.2,10,2,0.2,0.477,0.413,5,1,0,4,140,62,0.2,10,2,0.2,0.477,0.413
Vertigo,-1,162,155,7,2,0,5,182,87,0.286,14,10,0.714,0.325,0.606,7,2,0,5,182,87,0.286,14,10,0.714,0.325,0.606,2,1,0,1,48,28,0.5,4,2,0.5,0.6,0.556,2,1,0,1,48,28,0.5,4,2,0.5,0.6,0.556
Inferno,-1,157,155,4,2,0,2,106,53,0.5,8,4,0.5,0.45,0.565,4,2,0,2,106,53,0.5,8,4,0.5,0.45,0.565,6,2,0,4,161,78,0.333,12,4,0.333,0.507,0.467,6,2,0,4,161,78,0.333,12,4,0.333,0.507,0.467
Mirage,1,157,155,11,4,0,7,317,151,0.364,22,13,0.591,0.535,0.42,11,4,0,7,317,151,0.364,22,13,0.591,0.535,0.42,1,0,0,1,21,5,0.0,2,0,0.0,0.0,0.333,1,0,0,1,21,5,0.0,2,0,0.0,0.0,0.333
Dust2,-1,157,155,3,1,0,2,78,32,0.333,6,2,0.333,0.476,0.333,3,1,0,2,78,32,0.333,6,2,0.333,0.476,0.333,3,2,0,1,86,49,0.667,6,2,0.333,0.646,0.474,3,2,0,1,86,49,0.667,6,2,0.333,0.646,0.474
Nuke,-1,64,108,2,1,0,1,56,26,0.5,4,2,0.5,0.567,0.346,2,1,0,1,56,26,0.5,4,2,0.5,0.567,0.346,3,0,0,3,74,26,0.0,6,3,0.5,0.467,0.172,3,0,0,3,74,26,0.0,6,3,0.5,0.467,0.172
Inferno,-1,64,108,2,0,0,2,53,21,0.0,4,2,0.5,0.467,0.304,2,0,0,2,53,21,0.0,4,2,0.5,0.467,0.304,1,0,0,1,27,11,0.0,2,1,0.5,0.333,0.467,1,0,0,1,27,11,0.0,2,1,0.5,0.333,0.467
Vertigo,1,67,102,1,1,0,0,26,16,1.0,2,1,0.5,0.533,0.727,1,1,0,0,26,16,1.0,2,1,0.5,0.533,0.727,8,4,0,4,212,114,0.5,16,10,0.625,0.606,0.466,8,4,0,4,212,114,0.5,16,10,0.625,0.606,0.466
Nuke,1,67,102,6,2,0,4,144,63,0.333,12,6,0.5,0.507,0.362,6,2,0,4,144,63,0.333,12,6,0.5,0.507,0.362,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Overpass,1,79,90,1,1,0,0,36,19,1.0,2,1,0.5,0.778,0.278,1,1,0,0,36,19,1.0,2,1,0.5,0.778,0.278,1,1,0,0,28,16,1.0,2,1,0.5,0.667,0.462,1,1,0,0,28,16,1.0,2,1,0.5,0.667,0.462
Inferno,1,79,90,3,2,0,1,80,45,0.667,6,2,0.333,0.5,0.614,3,2,0,1,80,45,0.667,6,2,0.333,0.5,0.614,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Inferno,1,59,115,3,2,0,1,76,40,0.667,6,3,0.5,0.644,0.355,3,2,0,1,76,40,0.667,6,3,0.5,0.644,0.355,1,1,0,0,35,19,1.0,2,2,1.0,0.647,0.444,1,1,0,0,35,19,1.0,2,2,1.0,0.647,0.444
